167,N-Acetylneuraminic acid,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
168,Quinolinic acid,OC(=O)C1=CC=CN=C1C(O)=O
169,Testosterone,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
170,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
172,Propionic acid,CCC(O)=O
173,Sepiapterin,C[C@H](O)C(=O)C1=NC2=C(NC1)NC(N)=NC2=O
174,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1
175,Sulfite,[O-]S([O-])=O
176,Protoporphyrin IX,CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O
177,Pyruvic acid,CC(=O)C(O)=O
178,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
179,Porphobilinogen,NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1
181,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
182,Thyroxine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
183,Pyrophosphate,[O-]P([O-])(=O)OP([O-])([O-])=O
184,Taurine,NCCS(O)(=O)=O
185,Sphingosine,CCCCCCCCCCCCC\C=C\C(O)C(N)CO
186,Pregnenolone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])C2CC=C2C[C@H](O)CC[C@]12C
187,Succinic acid,OC(=O)CCC(O)=O
188,Squalene,CC(C)=CCC\C(C)=C/CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
189,Thiosulfate,[O-]S([S-])(=O)=O
190,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
191,Serotonin,NCCC1=CNC2=CC=C(O)C=C12
193,Thymine,CC1=CNC(=O)NC1=O
194,Phosphoenolpyruvic acid,OC(=O)C(=C)OP(O)(O)=O
195,Liothyronine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
196,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1
197,Tetrahydrocorticosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])C2CC[C@]2([H])C[C@H](O)CC[C@]12C
198,Sphinganine,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO
199,Sarcosine,CNCC(O)=O
200,Phosphoserine,N[C@@H](COP(O)(O)=O)C(O)=O
201,Thymidine,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
202,Sphingosine 1-phosphate,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O
203,Saccharopine,N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O
204,Phosphoribosyl pyrophosphate,O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
205,D-Ribose,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
207,Uridine triphosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
208,Uridine diphosphate glucose,OC[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1O
209,Uridine 5'-monophosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
210,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2
211,Uridine diphosphate-N-acetylglucosamine,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
212,Vanillylmandelic acid,COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O
213,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1
214,Xanthosine 5-triphosphate,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
215,Urea,NC(N)=O
216,Uridine 5'-diphosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
217,Uridine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
218,Xanthosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
219,Uracil,O=C1NC=CC(=O)N1
220,Urocanic acid,OC(=O)\C=C\C1=CNC=N1
221,Uridine diphosphategalactose,OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
222,Tryptamine,NCCC1=CNC2=CC=CC=C12
223,Uridine diphosphate-N-acetylgalactosamine,CC(=O)NC1C(O)C(O)C(CO)OC1OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(=O)NC1=O
224,Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
225,Tyramine,NCCC1=CC=C(O)C=C1
226,1b-Hydroxycholic acid,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)C[C@@H](O)[C@]12C
227,3b-Hydroxy-5-cholenoic acid,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
230,"3b,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid",[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])[C@@H](O)[C@@H](O)CC[C@]12C
231,"3a,7a,12b-Trihydroxy-5b-cholanoic acid",[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C
232,16b-Hydroxyestrone,[H][C@@]12C[C@H](O)C(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
235,"2b,3a,7a,12a-Tetrahydroxy-5b-cholanoic acid",[H][C@@]12C[C@H](O)[C@@H](O)C[C@]1(C)C1C[C@H](O)[C@]3(C)C(CCC3C1[C@H](O)C2)[C@@H](C)CCC(O)=O
237,"3,4-Dihydroxyphenylglycol",OCC(O)C1=CC(O)=C(O)C=C1
238,18-Hydroxycorticosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
239,"3a,4b,7a-Trihydroxy-5b-cholanoic acid",[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])[C@@H](O)[C@H](O)CC[C@]12C
